"","Year","Team_ID","Conference_ID","Division_ID","SeasonEnd_Rank","Playoff_Result","Team_Total_Games","Team_Wins","Team_Losses","Team_Ties","Team_OT_Losses","Team_Points","Team_ShootoutWins","Team_ShootoutLosses","Team_GoalsFor","Team_GoalsAgainst","TeamName","Team_PenaltyMin","Team_BenchMinors","Team_PPG","Team_PPC","Team_SHA","Team_PKG","Team_PKC","Team_SHF"
"118",2003,"TOR","EC","NE",2,"CSF",82,45,24,10,3,103,0,0,242,204,"Toronto Maple Leafs",1452,20,75,373,8,64,386,8
"119",2003,"VAN","WC","NW",1,"CQF",82,43,24,10,5,101,0,0,235,194,"Vancouver Canucks",1274,28,56,376,8,50,360,5
"120",2003,"WAS","EC","SE",5,NA,82,23,46,10,3,59,0,0,186,253,"Washington Capitals",1282,12,64,334,5,75,401,4
"121",2005,"ANA","WC","PC",3,"CF",82,43,27,0,12,98,3,7,254,229,"Mighty Ducks of Anaheim",1459,14,87,480,13,84,510,9
"122",2005,"ATL","EC","SE",3,NA,82,41,33,0,8,90,5,5,281,275,"Atlanta Thrashers",1344,26,100,527,10,102,492,13
"123",2005,"BOS","EC","NE",5,NA,82,29,37,0,16,74,2,8,230,266,"Boston Bruins",1174,12,62,418,10,78,479,9
"124",2005,"BUF","EC","NE",2,"CF",82,52,24,0,6,110,5,5,281,239,"Buffalo Sabres",1164,20,101,477,17,59,439,10
"125",2005,"CAL","WC","NW",1,"CQF",82,46,25,0,11,103,2,7,218,200,"Calgary Flames",1482,18,87,478,7,80,508,8
"126",2005,"CAR","EC","SE",1,"SC",82,52,22,0,8,112,8,2,294,260,"Carolina Hurricanes",1125,18,95,531,13,81,445,17
"127",2005,"CBS","WC","CE",3,NA,82,35,43,0,4,74,8,3,223,279,"Columbus Blue Jackets",1416,20,64,451,8,95,523,10
"128",2005,"CHI","WC","CE",4,NA,82,26,43,0,13,65,2,6,211,285,"Chicago Blackhawks",1544,26,51,417,12,88,547,6
"129",2005,"COL","WC","NW",2,"CSF",82,43,30,0,9,95,3,6,283,257,"Colorado Avalanche",1178,26,89,473,12,69,448,11
"130",2005,"DAL","WC","PC",1,"CQF",82,53,23,0,6,112,12,1,265,218,"Dallas Stars",1496,12,88,498,7,82,504,10
"131",2005,"DET","WC","CE",1,"CQF",82,58,16,0,8,124,4,3,305,209,"Detroit Red Wings",1117,14,102,461,10,67,461,7
"132",2005,"EDM","WC","NW",3,"F",82,41,28,0,13,95,7,9,256,251,"Edmonton Oilers",1204,22,88,485,5,76,478,15
"133",2005,"FLO","EC","SE",4,NA,82,37,34,0,11,85,4,5,240,257,"Florida Panthers",1279,24,63,411,12,91,514,5
"134",2005,"LAK","WC","PC",4,NA,82,42,35,0,5,89,6,1,249,270,"Los Angeles Kings",1474,34,77,541,12,104,489,15
"135",2005,"MIN","WC","NW",5,NA,82,38,36,0,8,84,5,3,231,215,"Minnesota Wild",1209,20,77,454,7,55,436,11
"136",2005,"MTL","EC","NE",3,"CQF",82,42,31,0,9,93,2,3,243,247,"Montreal Canadiens",1336,22,89,463,6,91,481,10
"137",2005,"NAS","WC","CE",2,"CQF",82,49,25,0,8,106,6,3,259,227,"Nashville Predators",1533,16,94,512,13,82,533,12
"138",2005,"NJD","EC","AT",1,"CSF",82,46,27,0,9,101,9,4,242,229,"New Jersey Devils",948,10,78,441,6,63,349,3
"139",2005,"NYI","EC","AT",4,NA,82,36,40,0,6,78,9,3,230,278,"New York Islanders",1266,18,76,450,15,99,476,5
"140",2005,"NYR","EC","AT",3,"CQF",82,44,26,0,12,100,7,4,257,215,"New York Rangers",1194,12,83,442,9,79,486,4
"141",2005,"OTT","EC","NE",1,"CSF",82,52,21,0,9,113,2,6,314,211,"Ottawa Senators",1462,20,102,490,11,73,476,25
"142",2005,"PHI","EC","AT",2,"CQF",82,45,26,0,11,101,4,6,267,259,"Philadelphia Flyers",1201,14,80,444,6,97,465,19
"143",2005,"PHO","WC","PC",5,NA,82,38,39,0,5,81,4,3,246,271,"Phoenix Coyotes",1511,18,96,541,11,98,513,9
"144",2005,"PIT","EC","AT",5,NA,82,22,46,0,14,58,1,6,244,316,"Pittsburgh Penguins",1559,20,94,495,16,113,533,13
"145",2005,"SJS","WC","PC",2,"CSF",82,44,27,0,11,99,1,7,266,242,"San Jose Sharks",1058,14,91,500,11,77,399,10
"146",2005,"STL","WC","CE",5,NA,82,21,46,0,15,57,4,8,197,292,"St. Louis Blues",1373,18,75,512,8,82,461,6
"147",2005,"TBL","EC","SE",2,"CQF",82,43,33,0,6,92,6,4,252,260,"Tampa Bay Lightning",959,22,81,485,11,72,391,11
"148",2005,"TOR","EC","NE",4,NA,82,41,33,0,8,90,3,7,257,270,"Toronto Maple Leafs",1398,20,107,501,12,99,496,14
"149",2005,"VAN","WC","NW",4,NA,82,42,32,0,8,92,4,4,256,255,"Vancouver Canucks",1477,12,96,526,10,93,512,6
"150",2005,"WAS","EC","SE",5,NA,82,29,41,0,12,70,7,6,237,306,"Washington Capitals",1499,26,72,490,18,116,550,15
"151",2006,"AND","WC","PC",1,"SC",82,48,20,0,14,110,4,10,258,208,"Anaheim Ducks",1457,30,89,398,4,61,410,4
"152",2006,"ATL","EC","SE",1,"CQF",82,43,28,0,11,97,7,4,246,245,"Atlanta Thrashers",1097,26,67,407,10,79,391,9
"153",2006,"BOS","EC","NE",5,NA,82,35,41,0,6,76,9,4,219,289,"Boston Bruins",1256,24,71,412,18,81,442,8
"154",2006,"BUF","EC","NE",1,"CF",82,53,22,0,7,113,10,4,308,242,"Buffalo Sabres",1200,18,71,407,13,72,386,8
"155",2006,"CAL","WC","NW",3,"CQF",82,43,29,0,10,96,3,5,258,226,"Calgary Flames",1204,22,73,401,5,81,414,15
"156",2006,"CAR","EC","SE",3,NA,82,40,34,0,8,88,0,5,241,253,"Carolina Hurricanes",1021,14,67,447,8,61,395,12
"157",2006,"CBS","WC","CE",4,NA,82,33,42,0,7,73,5,5,201,249,"Columbus Blue Jackets",1357,20,65,438,10,85,453,6
"158",2006,"CHI","WC","CE",5,NA,82,31,42,0,9,71,6,7,201,258,"Chicago Blackhawks",1332,16,43,364,6,77,443,12
"159",2006,"COL","WC","NW",4,NA,82,44,31,0,7,95,5,4,272,251,"Colorado Avalanche",884,20,79,374,9,70,353,7
"160",2006,"DAL","WC","PC",3,"CQF",82,50,25,0,7,107,9,4,226,197,"Dallas Stars",1133,22,79,427,6,59,377,3
"161",2006,"DET","WC","CE",1,"CF",82,50,19,0,13,113,2,8,254,199,"Detroit Red Wings",982,24,68,401,11,63,408,12
"162",2006,"EDM","WC","NW",5,NA,82,32,43,0,7,71,3,3,195,248,"Edmonton Oilers",1285,22,53,373,4,59,382,6
"163",2006,"FLO","EC","SE",4,NA,82,35,31,0,16,86,2,8,247,257,"Florida Panthers",1181,18,61,337,6,78,443,5
"164",2006,"LAK","WC","PC",4,NA,82,27,41,0,14,68,4,6,227,283,"Los Angeles Kings",1239,24,81,442,6,91,411,6
"165",2006,"MIN","WC","NW",2,"CQF",82,48,26,0,8,104,10,7,235,191,"Minnesota Wild",862,12,72,380,8,48,342,9
"166",2006,"MTL","EC","NE",4,NA,82,42,34,0,6,90,6,5,245,256,"Montreal Canadiens",1133,14,86,378,6,69,419,17
"167",2006,"NAS","WC","CE",2,"CQF",82,51,23,0,8,110,6,5,272,212,"Nashville Predators",1179,24,71,408,2,55,390,8
"168",2006,"NJD","EC","AT",1,"CSF",82,49,24,0,9,107,10,8,216,201,"New Jersey Devils",830,8,65,367,11,40,271,4
"169",2006,"NYI","EC","AT",4,"CQF",82,40,30,0,12,92,8,5,248,240,"New York Islanders",1062,24,63,348,9,79,433,7
"170",2006,"NYR","EC","AT",3,"CSF",82,42,30,0,10,94,9,5,242,216,"New York Rangers",1109,22,75,406,6,65,400,11
"171",2006,"OTT","EC","NE",2,"F",82,48,25,0,9,105,2,6,288,222,"Ottawa Senators",1173,12,72,403,12,61,394,17
"172",2006,"PHI","EC","AT",5,NA,82,22,48,0,12,56,1,6,214,303,"Philadelphia Flyers",1301,16,53,376,14,65,420,15
"173",2006,"PHO","WC","PC",5,NA,82,31,46,0,5,67,5,2,216,284,"Phoenix Coyotes",1445,28,66,400,13,92,425,5
"174",2006,"PIT","EC","AT",2,"CQF",82,47,24,0,11,105,10,6,277,246,"Pittsburgh Penguins",1249,38,94,463,13,75,419,14
"175",2006,"SJS","WC","PC",2,"CSF",82,51,26,0,5,107,2,2,258,199,"San Jose Sharks",955,16,92,410,4,55,330,7
"176",2006,"STL","WC","CE",3,NA,82,34,35,0,13,81,6,6,214,254,"St. Louis Blues",1223,20,46,381,10,83,414,7
"177",2006,"TBL","EC","SE",2,"CQF",82,44,33,0,5,93,10,2,253,261,"Tampa Bay Lightning",897,6,69,374,11,66,305,14
"178",2006,"TOR","EC","NE",3,NA,82,40,31,0,11,91,4,7,258,269,"Toronto Maple Leafs",1139,12,71,401,11,90,418,3
"179",2006,"VAN","WC","NW",1,"CSF",82,49,26,0,7,105,5,4,222,201,"Vancouver Canucks",1206,16,70,407,8,57,436,5
"180",2006,"WAS","EC","SE",5,NA,82,28,40,0,14,70,1,11,235,286,"Washington Capitals",1233,16,67,408,14,82,414,12
"181",2007,"AND","WC","PC",2,"CQF",82,47,27,0,8,102,8,7,205,191,"Anaheim Ducks",1481,16,60,361,7,69,408,8
"182",2007,"ATL","EC","SE",4,NA,82,34,40,0,8,76,9,6,216,272,"Atlanta Thrashers",1077,20,52,316,10,75,354,13
"183",2007,"BOS","EC","NE",3,"CQF",82,41,29,0,12,94,6,7,212,222,"Boston Bruins",1069,18,56,319,6,71,332,9
"184",2007,"BUF","EC","NE",4,NA,82,39,31,0,12,90,4,9,255,242,"Buffalo Sabres",1004,14,66,366,8,56,333,9
"185",2007,"CAL","WC","NW",3,"CQF",82,42,30,0,10,94,3,3,229,227,"Calgary Flames",1342,14,59,352,8,72,388,9
"186",2007,"CAR","EC","SE",2,NA,82,43,33,0,6,92,2,3,252,249,"Carolina Hurricanes",1183,18,79,420,13,75,355,4
"187",2007,"CBS","WC","CE",4,NA,82,34,36,0,12,80,3,8,193,218,"Columbus Blue Jackets",1325,22,53,356,5,63,378,8
